Review,Sentiment,Delivery process,Product Quality,Product Information Accuracy,Payment Security,Stock Availability,advice
quality of this product is good,Negative,1,4,7,2,5,fhdhzdfhb
increase quality,Positive,2,5,8,7,4,frhzsdrhserth
this product is  good,Negative,2,3,4,1,2,hgeaghgth
this product is  good,Negative,5,6,4,8,1,trhsrthrdhtfhr hjyrth
good quality,positive,6,3,2,1,7,fhgidfhuigyd
good quality,positive,4,4,4,4,5,fhgidfhuigyd
good quality,positive,6,3,6,2,7,fhgidfhuigyd
good quality,positive,5,1,5,3,2,fhgidfhuigyd
quality of this product is good,Negative,2,5,3,1,4,please include more online payment system.
quality of this product is good,Negative,5,6,2,1,4,dcfzdvfvu
quality of this product is good,Negative,2,6,2,1,4,include more online payment options
quality of this product is good,Negative,10,2,5,6,7,increase product quality
increase quality,Positive,2,10,6,7,3,speed up the delivery process
increase quality,Positive,2,5,6,1,4,add more online options for payment
increase quality,Positive,2,6,3,1,4,hgdhnghsxr
increase quality,Positive,2,5,3,1,4,cvdfgfdgaer
quality of this product is good,Negative,2,6,4,5,5,wdwqdqw
increase quality,Positive,10,10,6,4,3,sfaf
quality of this product is good,Negative,10,6,3,1,3,fyikfyftr
increase quality,Negative,10,6,2,1,5,rir6ryigy
increase quality,Positive,10,6,3,6,7,dasfag
bad one,Negative,10,9,4,7,3,yhdtu
increase quality,Positive,2,6,3,6,7,thufytjhu
bad one,Negative,2,5,4,5,3,yrsgytsr
